"","Dataset","Model","Feature","Feature_Value","group_size","TN","FP","FN","TP","TOTAL","ACT_N","ACT_P","PRED_P","PRED_N","FPR","PPV","FDR","TPR","STAT_PAR","ERROR","Feature_EN","Feature_Value_EN","is_privileged_group","stage","Model_EN"
"1","Pilot","BR","geslacht","M",144,19.4444444444444,28.4722222222222,17.3611111111111,34.7222222222222,100,47.9166666666667,52.0833333333333,63.1944444444444,36.8055555555556,59.4202898550725,54.945054945055,45.0549450549451,66.6666666666667,63.1944444444444,45.8333333333333,"gender","M",1,"Pilot/BR","Before Reweighing"
"2","Pilot","BR","geslacht","V",128,16.40625,39.84375,14.0625,29.6875,100,56.25,43.75,69.53125,30.46875,70.8333333333333,42.6966292134831,57.3033707865169,67.8571428571429,69.53125,53.90625,"gender","F",0,"Pilot/BR","Before Reweighing"
"3","Pilot","BR","Leeftijd&lt;30","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Age < 30","below 30",1,"Pilot/BR","Before Reweighing"
"4","Pilot","BR","Leeftijd&lt;30","0",236,20.3389830508475,31.7796610169492,16.9491525423729,30.9322033898305,100,52.1186440677966,47.8813559322034,62.7118644067797,37.2881355932203,60.9756097560976,49.3243243243243,50.6756756756757,64.6017699115044,62.7118644067797,48.728813559322,"Age < 30","above 30",0,"Pilot/BR","Before Reweighing"
"5","Pilot","BR","Leeftijd&lt;40","1",152,11.1842105263158,38.1578947368421,13.1578947368421,37.5,100,49.3421052631579,50.6578947368421,75.6578947368421,24.3421052631579,77.3333333333333,49.5652173913043,50.4347826086956,74.025974025974,75.6578947368421,51.3157894736842,"Age < 40","below 40",1,"Pilot/BR","Before Reweighing"
"6","Pilot","BR","Leeftijd&lt;40","0",120,26.6666666666667,28.3333333333333,19.1666666666667,25.8333333333333,100,55,45,54.1666666666667,45.8333333333333,51.5151515151515,47.6923076923077,52.3076923076923,57.4074074074074,54.1666666666667,47.5,"Age < 40","above 40",0,"Pilot/BR","Before Reweighing"
"7","Pilot","BR","Leeftijd&lt;50","1",208,16.3461538461538,34.1346153846154,12.5,37.0192307692308,100,50.4807692307692,49.5192307692308,71.1538461538462,28.8461538461538,67.6190476190476,52.027027027027,47.972972972973,74.7572815533981,71.1538461538462,46.6346153846154,"Age < 50","below 50",1,"Pilot/BR","Before Reweighing"
"8","Pilot","BR","Leeftijd&lt;50","0",64,23.4375,32.8125,26.5625,17.1875,100,56.25,43.75,50,50,58.3333333333333,34.375,65.625,39.2857142857143,50,59.375,"Age < 50","above 50",0,"Pilot/BR","Before Reweighing"
"9","Pilot","BR","IsNederlands","1",212,18.3962264150943,35.377358490566,15.0943396226415,31.1320754716981,100,53.7735849056604,46.2264150943396,66.5094339622642,33.4905660377358,65.7894736842105,46.8085106382979,53.1914893617021,67.3469387755102,66.5094339622642,50.4716981132076,"Dutch","Dutch",1,"Pilot/BR","Before Reweighing"
"10","Pilot","BR","IsNederlands","0",59,16.9491525423729,28.8135593220339,18.6440677966102,35.593220338983,100,45.7627118644068,54.2372881355932,64.406779661017,35.593220338983,62.962962962963,55.2631578947368,44.7368421052632,65.625,64.406779661017,47.4576271186441,"Dutch","Not Dutch",0,"Pilot/BR","Before Reweighing"
"11","Pilot","BR","IsWesters","1",246,17.479674796748,34.5528455284553,15.0406504065041,32.9268292682927,100,52.0325203252033,47.9674796747967,67.479674796748,32.520325203252,66.40625,48.7951807228916,51.2048192771084,68.6440677966102,67.479674796748,49.5934959349593,"Western","Western",1,"Pilot/BR","Before Reweighing"
"12","Pilot","BR","IsWesters","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western","Not Western",0,"Pilot/BR","Before Reweighing"
"13","Pilot","AR","geslacht","M",144,15.9722222222222,31.9444444444444,18.0555555555556,34.0277777777778,100,47.9166666666667,52.0833333333333,65.9722222222222,34.0277777777778,66.6666666666667,51.578947368421,48.4210526315789,65.3333333333333,65.9722222222222,50,"gender","M",1,"Pilot/AR","After Reweighing"
"14","Pilot","AR","geslacht","V",128,14.84375,41.40625,15.625,28.125,100,56.25,43.75,69.53125,30.46875,73.6111111111111,40.4494382022472,59.5505617977528,64.2857142857143,69.53125,57.03125,"gender","F",0,"Pilot/AR","After Reweighing"
"15","Pilot","AR","Leeftijd&lt;30","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Age < 30","below 30",1,"Pilot/AR","After Reweighing"
"16","Pilot","AR","Leeftijd&lt;30","0",236,17.3728813559322,34.7457627118644,18.2203389830508,29.6610169491525,100,52.1186440677966,47.8813559322034,64.4067796610169,35.593220338983,66.6666666666667,46.0526315789474,53.9473684210526,61.9469026548673,64.4067796610169,52.9661016949153,"Age < 30","above 30",0,"Pilot/AR","After Reweighing"
"17","Pilot","AR","Leeftijd&lt;40","1",152,11.1842105263158,38.1578947368421,15.1315789473684,35.5263157894737,100,49.3421052631579,50.6578947368421,73.6842105263158,26.3157894736842,77.3333333333333,48.2142857142857,51.7857142857143,70.1298701298701,73.6842105263158,53.2894736842105,"Age < 40","below 40",1,"Pilot/AR","After Reweighing"
"18","Pilot","AR","Leeftijd&lt;40","0",120,20.8333333333333,34.1666666666667,19.1666666666667,25.8333333333333,100,55,45,60,40,62.1212121212121,43.0555555555556,56.9444444444444,57.4074074074074,60,53.3333333333333,"Age < 40","above 40",0,"Pilot/AR","After Reweighing"
"19","Pilot","AR","Leeftijd&lt;50","1",208,14.9038461538462,35.5769230769231,13.4615384615385,36.0576923076923,100,50.4807692307692,49.5192307692308,71.6346153846154,28.3653846153846,70.4761904761905,50.3355704697987,49.6644295302013,72.8155339805825,71.6346153846154,49.0384615384615,"Age < 50","below 50",1,"Pilot/AR","After Reweighing"
"20","Pilot","AR","Leeftijd&lt;50","0",64,17.1875,39.0625,28.125,15.625,100,56.25,43.75,54.6875,45.3125,69.4444444444444,28.5714285714286,71.4285714285714,35.7142857142857,54.6875,67.1875,"Age < 50","above 50",0,"Pilot/AR","After Reweighing"
"21","Pilot","AR","IsNederlands","1",212,14.622641509434,39.1509433962264,16.0377358490566,30.188679245283,100,53.7735849056604,46.2264150943396,69.3396226415094,30.6603773584906,72.8070175438597,43.5374149659864,56.4625850340136,65.3061224489796,69.3396226415094,55.188679245283,"Dutch","Dutch",1,"Pilot/AR","After Reweighing"
"22","Pilot","AR","IsNederlands","0",59,18.6440677966102,27.1186440677966,20.3389830508475,33.8983050847458,100,45.7627118644068,54.2372881355932,61.0169491525424,38.9830508474576,59.2592592592593,55.5555555555556,44.4444444444444,62.5,61.0169491525424,47.4576271186441,"Dutch","Not Dutch",0,"Pilot/AR","After Reweighing"
"23","Pilot","AR","IsWesters","1",246,14.2276422764228,37.8048780487805,15.8536585365854,32.1138211382114,100,52.0325203252033,47.9674796747967,69.9186991869919,30.0813008130081,72.65625,45.9302325581395,54.0697674418605,66.9491525423729,69.9186991869919,53.6585365853659,"Western","Western",1,"Pilot/AR","After Reweighing"
"24","Pilot","AR","IsWesters","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western","Not Western",0,"Pilot/AR","After Reweighing"
"25","Prepilot","BR","geslacht","M",693,33.7662337662338,15.8730158730159,25.3968253968254,24.963924963925,100,49.6392496392496,50.3607503607504,40.8369408369408,59.1630591630592,31.9767441860465,61.13074204947,38.86925795053,49.5702005730659,40.8369408369408,41.2698412698413,"gender","M",1,"Prepilot/BR","Before Reweighing"
"26","Prepilot","BR","geslacht","V",560,35.5357142857143,13.2142857142857,25.7142857142857,25.5357142857143,100,48.75,51.25,38.75,61.25,27.1062271062271,65.8986175115207,34.1013824884793,49.8257839721254,38.75,38.9285714285714,"gender","F",0,"Prepilot/BR","Before Reweighing"
"27","Prepilot","BR","IsFulltimeParent","1",185,42.1621621621622,15.6756756756757,22.1621621621622,20,100,57.8378378378378,42.1621621621622,35.6756756756757,64.3243243243243,27.1028037383178,56.0606060606061,43.9393939393939,47.4358974358974,35.6756756756757,37.8378378378378,"IsFulltimeParent","Full-time parent",0,"Prepilot/BR","Before Reweighing"
"28","Prepilot","BR","IsFulltimeParent","0",1070,33.1775700934579,14.5794392523364,26.0747663551402,26.1682242990654,100,47.7570093457944,52.2429906542056,40.7476635514019,59.2523364485981,30.5283757338552,64.2201834862385,35.7798165137615,50.0894454382826,40.7476635514019,40.6542056074766,"IsFulltimeParent","Not full-time parent",1,"Prepilot/BR","Before Reweighing"
"29","Prepilot","BR","IsParttimeParent","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IsParttimeParent","Part-time parent",0,"Prepilot/BR","Before Reweighing"
"30","Prepilot","BR","IsParttimeParent","0",1237,34.357316087308,14.7130153597413,25.5456750202102,25.3839935327405,100,49.0703314470493,50.9296685529507,40.0970088924818,59.9029911075182,29.9835255354201,63.3064516129032,36.6935483870968,49.8412698412698,40.0970088924818,40.2586903799515,"IsParttimeParent","Not part-time parent",1,"Prepilot/BR","Before Reweighing"
"31","Prepilot","BR","Leeftijd&lt;30","1",396,32.0707070707071,15.9090909090909,25,27.020202020202,100,47.979797979798,52.020202020202,42.9292929292929,57.0707070707071,33.1578947368421,62.9411764705882,37.0588235294118,51.9417475728155,42.9292929292929,40.9090909090909,"Age < 30","below 30",1,"Prepilot/BR","Before Reweighing"
"32","Prepilot","BR","Leeftijd&lt;30","0",859,35.6228172293364,14.2025611175786,25.7275902211874,24.4470314318976,100,49.825378346915,50.174621653085,38.6495925494761,61.3504074505239,28.5046728971963,63.2530120481928,36.7469879518072,48.723897911833,38.6495925494761,39.930151338766,"Age < 30","above 30",0,"Prepilot/BR","Before Reweighing"
"33","Prepilot","BR","Leeftijd&lt;40","1",777,31.4028314028314,15.4440154440154,24.5817245817246,28.5714285714286,100,46.8468468468469,53.1531531531532,44.015444015444,55.984555984556,32.967032967033,64.9122807017544,35.0877192982456,53.7530266343826,44.015444015444,40.02574002574,"Age < 40","below 40",1,"Prepilot/BR","Before Reweighing"
"34","Prepilot","BR","Leeftijd&lt;40","0",478,39.5397489539749,13.5983263598326,26.9874476987448,19.8744769874477,100,53.1380753138075,46.8619246861925,33.4728033472803,66.5271966527197,25.5905511811024,59.375,40.625,42.4107142857143,33.4728033472803,40.5857740585774,"Age < 40","above 40",0,"Prepilot/BR","Before Reweighing"
"35","Prepilot","BR","Leeftijd&lt;50","1",1000,33.1,15.2,25.1,26.6,100,48.3,51.7,41.8,58.2,31.4699792960663,63.6363636363636,36.3636363636364,51.4506769825919,41.8,40.3,"Age < 50","below 50",1,"Prepilot/BR","Before Reweighing"
"36","Prepilot","BR","Leeftijd&lt;50","0",255,40,12.9411764705882,27.0588235294118,20,100,52.9411764705882,47.0588235294118,32.9411764705882,67.0588235294118,24.4444444444444,60.7142857142857,39.2857142857143,42.5,32.9411764705882,40,"Age < 50","above 50",0,"Prepilot/BR","Before Reweighing"
"37","Prepilot","BR","IsNederlands","1",876,39.2694063926941,13.6986301369863,26.1415525114155,20.8904109589041,100,52.9680365296804,47.0319634703196,34.5890410958904,65.4109589041096,25.8620689655172,60.3960396039604,39.6039603960396,44.4174757281553,34.5890410958904,39.8401826484018,"Dutch","Dutch",1,"Prepilot/BR","Before Reweighing"
"38","Prepilot","BR","IsNederlands","0",345,22.6086956521739,17.6811594202899,24.3478260869565,35.3623188405797,100,40.2898550724638,59.7101449275362,53.0434782608696,46.9565217391304,43.8848920863309,66.6666666666667,33.3333333333333,59.2233009708738,53.0434782608696,42.0289855072464,"Dutch","Not Dutch",0,"Prepilot/BR","Before Reweighing"
"39","Prepilot","BR","IsWesters","1",1021,36.5328109696376,12.9285014691479,26.052889324192,24.4857982370225,100,49.4613124387855,50.5386875612145,37.4142997061704,62.5857002938296,26.1386138613861,65.4450261780105,34.5549738219895,48.4496124031008,37.4142997061704,38.9813907933399,"Western","Western",1,"Prepilot/BR","Before Reweighing"
"40","Prepilot","BR","IsWesters","0",199,24.6231155778894,24.6231155778894,23.1155778894472,27.6381909547739,100,49.2462311557789,50.7537688442211,52.2613065326633,47.7386934673367,50,52.8846153846154,47.1153846153846,54.4554455445545,52.2613065326633,47.7386934673367,"Western","Not Western",0,"Prepilot/BR","Before Reweighing"
"41","Prepilot","AR","geslacht","M",693,37.8066378066378,11.8326118326118,30.8802308802309,19.4805194805195,100,49.6392496392496,50.3607503607504,31.3131313131313,68.6868686868687,23.8372093023256,62.2119815668203,37.7880184331797,38.6819484240688,31.3131313131313,42.7128427128427,"gender","M",1,"Prepilot/AR","After Reweighing"
"42","Prepilot","AR","geslacht","V",560,39.4642857142857,9.28571428571429,30.1785714285714,21.0714285714286,100,48.75,51.25,30.3571428571429,69.6428571428571,19.047619047619,69.4117647058823,30.5882352941176,41.1149825783972,30.3571428571429,39.4642857142857,"gender","F",0,"Prepilot/AR","After Reweighing"
"43","Prepilot","AR","IsFulltimeParent","1",185,45.4054054054054,12.4324324324324,25.9459459459459,16.2162162162162,100,57.8378378378378,42.1621621621622,28.6486486486487,71.3513513513514,21.4953271028037,56.6037735849057,43.3962264150943,38.4615384615385,28.6486486486487,38.3783783783784,"IsFulltimeParent","Full-time parent",0,"Prepilot/AR","After Reweighing"
"44","Prepilot","AR","IsFulltimeParent","0",1070,37.2897196261682,10.4672897196262,31.3084112149533,20.9345794392523,100,47.7570093457944,52.2429906542056,31.4018691588785,68.5981308411215,21.9178082191781,66.6666666666667,33.3333333333333,40.0715563506261,31.4018691588785,41.7757009345794,"IsFulltimeParent","Not full-time parent",1,"Prepilot/AR","After Reweighing"
"45","Prepilot","AR","IsParttimeParent","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IsParttimeParent","Part-time parent",0,"Prepilot/AR","After Reweighing"
